AmountMst	CategoryId	DisplayValue	dataAreaId
317.24	84003	13100-10-120	6005
3705.45	83005	13100-10-120	6005
2500	83010	13100-10-120	6005
2500	83010	13100-10-120	6005
2500	83010	13100-10-120	6005
2500	83010	13100-10-120	6005
189.75	83005	13100-10-120	6005
189.75	83005	13100-10-120	6005
189.75	83005	13100-10-120	6005
189.75	83005	13100-10-120	6005
219.58	83005	13100-10-120	6005
219.58	83005	13100-10-120	6005
219.58	83005	13100-10-120	6005
219.58	83005	13100-10-120	6005
-50000	81002	13100-10-120	6005
-9500	82003	13100-10-120	6005
-9500	82003	13100-10-120	6005
-5000	80004	13100-10-120	6005
-10000	82015	13100-10-120	6005
-5000	82015	13100-10-120	6005
-330	83005	13100-10-120	6005
-330	83005	13100-10-120	6005
-2570	81002	13100-10-120	6005
362299.6	WIPCR	13100-10-120	6005
-99300	82001	13100-10-120	6005
21300	82001	13100-10-120	6005
78000	82001	13100-10-120	6005
-108.18	83001	13100-10-120	6005
108.18	83001	13100-10-120	6005
-1.79	83001	13100-10-120	6005
1.79	83001	13100-10-120	6005
-108.18	85001	13100-10-120	6005
108.18	85001	13100-10-120	6005
-4741	82010	13100-10-120	6005
2370.5	82010	13100-10-120	6005
2370.5	82010	13100-10-120	6005
-300	82010	13100-10-120	6005
150	82010	13100-10-120	6005
150	82010	13100-10-120	6005
-19000	82003	13100-10-120	6005
-50000	81002	13100-10-120	6005
-78000	82001	13100-10-120	6005
-77799.6	82012	13100-10-120	6005
-5000	80004	13100-10-120	6005
-32000	82007	13100-10-120	6005
-5000	82016	13100-10-120	6005
-9500	82015	13100-10-120	6005
-5000	82012	13100-10-120	6005
-4000	81005	13100-10-120	6005
-2500	82003	13100-10-120	6005
-1250	82003	13100-10-120	6005
-1750	82003	13100-10-120	6005
-2500	82003	13100-10-120	6005
-12500	82017	13100-10-120	6005
-4700	82011	13100-10-120	6005
-10000	81003	13100-10-120	6005
-2800	82002	13100-10-120	6005
-4000	82011	13100-10-120	6005
-35000	81003	13100-10-120	6005
-362299.6	WIPCR	13100-10-120	6005
972.28	75050	13100	6005
1021.08	75070	13100	6005
20000	75020	13100	6005
8600	77500	13100	6005
18100	77500	13100	6005
2114.93	82012	13100	6005
2114.93	82012	13100	6005
2114.93	82012	13100	6005
2114.93	82012	13100	6005
-0.02	82012	13100	6005
2114.93	82012	13100	6005
5000	82009	13100	6005
4040	83020	13100	6005
13800	82004	13100	6005
26140	75075	13100	6005
-5550	82002	13100	6005
-5550	82002	13100	6005
-3700	82002	13100	6005
-7400	82002	13100	6005
-1400	82002	13100	6005
-1200	82002	13100	6005
-3700	82002	13100	6005
-7400	82002	13100	6005
-1800	82002	13100	6005
-7400	82002	13100	6005
-1850	82002	13100	6005
-1400	82002	13100	6005
-1200	82002	13100	6005
-600	82011	13100	6005
-280	82011	13100	6005
-12500	82006	13100	6005
-2000	82008	13100	6005
-12500	82006	13100	6005
-2000	82008	13100	6005
-12500	82006	13100	6005
-2000	82008	13100	6005
-12500	82006	13100	6005
-2000	82008	13100	6005
300	85001	13100	6005
8000	82004	13100	6005
400	84003	13100	6005
-18876.28	82012	13100	6005
-18876.28	82012	13100	6005
-18876.28	82012	13100	6005
-18876.28	82012	13100	6005
-18876.28	82012	13100	6005
18876.28	82012	13100	6005
-18876.28	82012	13100	6005
-23437.49	86001	13100	6005
-23437.49	86001	13100	6005
-23437.49	86001	13100	6005
-23437.49	86001	13100	6005
-23437.49	86001	13100	6005
-23437.49	86001	13100	6005
-23437.49	86001	13100	6005
-23437.49	86001	13100	6005
23437.49	86001	13100	6005
1600	81003	13100	6005
53000	80005	13100	6005
850	81003	13100	6005
3750	83005	13100	6005
3750	83005	13100	6005
294.55	81003	13100	6005
9152	81002	13100	6005
5000	82012	13100	6005
12600	82016	13100	6005
5400	Claims	13100	6005
27500	82006	13100	6005
400	85001	13100	6005
20997.5	80004	13100	6005
515	75115	13100	6005
2400	75005	13100	6005
660	75070	13100	6005
7000	71105	13100	6005
2750	85006	13100	6005
952.21	81003	13100	6005
12500	75125	13100	6005
-17593.75	75115	13100	6005
20000	75115	13100	6005
-2455	75105	13100	6005
2455	75105	13100	6005
-4000	82002	13100	6005
4000	82002	13100	6005
-2432	75105	13100	6005
2432	75105	13100	6005
4741	82010	13100	6005
259	81005	13100	6005
10000	82015	13100	6005
12500	82006	13100	6005
2000	82008	13100	6005
12500	82006	13100	6005
2000	82008	13100	6005
5000	80004	13100	6005
-2400	75005	13100	6005
2400	75005	13100	6005
-400	84003	13100	6005
400	84003	13100	6005
9450	82009	13100	6005
0	82009	13100	6005
0	82009	13100	6005
4450	82009	13100	6005
0	82009	13100	6005
9450	82009	13100	6005
5000	82015	13100	6005
5000	82015	13100	6005
4040	83020	13100	6005
13800	82004	13100	6005
4741	82010	13100	6005
-21954.48	WIPCR	13100	6005
14060	82002	13100	6005
3700	82002	13100	6005
10640	82002	13100	6005
4500	82012	13100	6005
5000	80004	13100	6005
5000	82016	13100	6005
-137057.93	WIPCR	13100	6005
6995	83005	13100	6005
2114.93	82012	13100	6005
-0.01	82012	13100	6005
2114.93	82012	13100	6005
-2114.93	82012	13100	6005
2114.93	82012	13100	6005
-2114.93	82012	13100	6005
2114.93	82012	13100	6005
-2114.93	82012	13100	6005
2114.93	82012	13100	6005
12000	77500	13100	6005
-17760	82002	13100	6005
-10640	82002	13100	6005
-330	83005	13100	6005
330	83005	13100	6005
272.73	82014	13100	6005
-1800	81003	13100	6005
-3850	81003	13100	6005
-1080	81003	13100	6005
-62.87	81003	13100	6005
-415	81004	13100	6005
415	81004	13100	6005
-220	81004	13100	6005
220	81004	13100	6005
-1200	83020	13100	6005
-35	83020	13100	6005
-681.82	83020	13100	6005
-3800	83020	13100	6005
-935	83020	13100	6005
